imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0323630,Phone,2002,2004-05-14,"Horror, Mystery, Thriller",102,South Korea,Korean,Byeong-ki Ahn,"Byeong-ki Ahn, Yu-jin Lee",Toilet Pictures,6.2,4807,,,$ 21784403,,64.0,72.0
tt0323633,Melvin Goes to Dinner,2003,2003-12-04,"Comedy, Drama, Romance",83,USA,English,Bob Odenkirk,"Michael Blieden, Michael Blieden",LeFoole Inc.,6.8,2616,,$ 4168,$ 4168,,42.0,9.0
tt0323642,"Pimpi, piccolo grande eroe",2003,2003-09-05,"Animation, Adventure, Comedy",75,USA,English,Francis Glebas,"Brian Hohlfeld, A.A. Milne",Disneytoon Studios,6.2,6758,,$ 23103423,$ 62870546,62.0,27.0,45.0
tt0323727,Project Nightmare,1987,1987,"Horror, Sci-Fi, Thriller",74,USA,English,Donald M. Jones,"Donald M. Jones, James C. Lane",,4.4,103,$ 30000,,,,3.0,12.0
tt0323741,Purgatory Flats,2003,2010-02-14,"Romance, Thriller",102,USA,English,Harris Done,"Harris Done, Diane Fine",Editbay Productions,5.4,382,,,,,12.0,2.0
tt0323807,Ricordati di me,2003,2003-02-14,"Comedy, Romance, Drama",125,"Italy, France, UK","Italian, French, English",Gabriele Muccino,"Gabriele Muccino, Gabriele Muccino",Fandango,6.4,4029,EUR 5000000,$ 227986,$ 12909601,53.0,22.0,36.0
tt0323808,The Wicker Tree,2011,2011-07-19,"Drama, Horror",96,UK,English,Robin Hardy,"Robin Hardy, Robin Hardy",British Lion Film Corporation,3.8,2465,$ 7750000,,,,57.0,110.0
tt0323869,I Cavalieri dello zodiaco - La dea della discordia,1987,1987-07-18,"Animation, Action, Fantasy",46,Japan,Japanese,Kôzô Morishita,"Masami Kurumada, Yoshiyuki Suga",Toei Doga,6.5,1124,,,,,1.0,
tt0323872,Kitchen stories - I racconti di cucina,2003,2003-12-19,"Comedy, Drama",95,"Norway, Sweden","Norwegian, Swedish",Bent Hamer,"Jörgen Bergmark, Bent Hamer",BOB Film Sweden AB,7.3,7937,,$ 351235,$ 2823472,75.0,42.0,77.0
tt0323874,Sam & Janet,2002,2002-05-29,"Comedy, Drama, Romance",90,USA,English,Rick Walker,Rick Walker,Salmon Films LLC,3.8,212,,,,,31.0,
tt0323918,Sekula se opet zeni,1991,1991,Comedy,91,Yugoslavia,Serbo-Croatian,Dragoslav Lazic,"Rados Bajic, Jovan Janicijevic-Burdus",MP Agency,5.4,290,,,,,,
tt0323939,Shade - Carta vincente,2003,2004-05-09,"Crime, Thriller",101,USA,English,Damian Nieman,Damian Nieman,Cobalt Media Group,6.3,11991,$ 10000000,$ 25032,$ 459098,40.0,67.0,28.0
tt0323944,L'inventore di favole,2003,2004-11-12,"Drama, History",94,"USA, Canada",English,Billy Ray,"Buzz Bissinger, Billy Ray",Lions Gate Films,7.1,32684,$ 6000000,$ 2220008,$ 2944752,73.0,199.0,133.0
tt0323998,Smala Sussie,2003,2003-10-03,"Comedy, Crime, Mystery",97,Sweden,"Swedish, English",Ulf Malmros,"Ulf Malmros, Petteri Nuottimäki",Film i Väst,6.9,8932,SEK 13800000,,$ 90132,,17.0,5.0
tt0324071,Stealing Candy,2003,2003-12-10,Thriller,80,USA,English,Mark L. Lester,"Dana Dubovsky, Randall Frakes",American World Pictures (AWP),4.3,603,,,,,11.0,5.0
tt0324107,Los suicidas,2005,2006-10-05,Mystery,80,Argentina,Spanish,Juan Villegas,Antonio Di Benedetto,Tresplanos Cine,5.5,121,,,,,,1.0
tt0324123,Seopeuraijeu,2002,2002-07-05,"Comedy, Romance",98,South Korea,Korean,Jin-seong Kim,,CJ Entertainment,5.9,161,,,$ 1790131,,1.0,2.0
